溪流名稱,別名
重嶺溪,
面埔前溪,
韭菜坑,
韭菜湖溪,
風尾坑,
風美溪,
風櫃口埤,
風騷溝,
飛鳳溪,
食水坑,
食水嵙溪,
香茅坑,
香菇溪,
倉庫溪,
倒孔山溪,
倒踏坑,
凍子腳溪,
員山溪,
員林坑溪,
員潭子一圳,
員潭子三圳,
員潭坑,
員潭溪,
埔心大埤,
埔心溪,
埔坑,
埔坪溪,
埔羌溪,
埔頂埤,
埔萎林坑,
埔頭圳,
埔頭坑溪,
埔頭溪,
宵里溪,
射寮港,
峨眉湖(大埔水庫),
峨眉溪,
崁頂坑溪,
崁頂溪,
崁腳圳,
崁腳埤,
崁頭溪,
庫志溪,
庫拉濃溪,
徐家池塘,
朗島西溪,
朗島東溪,
柴坑,
柴頭港溪,
柴頭港溪排水,柴頭港溪
柴頭溪,
格仔坑溪,
桂安漁港,
桂竹林坑,
桂竹林河,
桂林坑,
桃山溪,
桃仔腳導水線,
桃米溪,
桃源溪,
桑洞溪,
泰平溪,
泰西圳,
泰林溪,
泰崗溪,
泰源南溪,
浮圳排水溝,
浮洲溪,
海口上圳,
海口圳,
海口埤,
海口港,
海水川溪,
海汕小港,
海老溪,
海尾溪,
海岸漁港,
海軍軍港,
海湖埤,
海湖溝,
海豐崙溪,
烏山農塘,
烏山頭水庫(珊瑚潭),
烏山頭水庫主流,
烏牛欄溪,
烏仙崙溪,
烏瓦拉鼻溪,
烏石坑溪,
烏石坑溪上流,
烏石漁港,
烏石鼻漁港,
烏來溪,
烏砂溪,
烏乾坑溪,
烏塗溪,
烏溪,大肚溪
烏溪,
烏溪(大肚溪),
烏萬溪,
烏爾托博哈溪,
特富野溪,
珠子山圳,
班芝埔溪,油礦溪
班芝埔溪,
班芝埔溪(油礦溪),
留茂安溪,
益則坑,
真柄溪,馬海溪
真柄溪,
破圳,
破礑溪,
神秘谷,
粉鳥林漁港,
純青湖,
紙寮坑,
索那拉溪,
翁子社溪,
能高大圳西幹線,
能高大圳東幹線,
能高清水溪,
臭水西溝,
臭水東溝,
臭水溝,
茲那谷溪,
茶茶牙頓溪,
茶壺溪,
茶寮埤,
茸坑溪,
草人坑,
草山溪,沙美箕溪
草山溪,
草山溪(沙美箕溪),
草圣溝,
草厝溪,
草埤,
草湖溪,
草湳坡,
草溪,
草寮坑,
草潭埤灌溉排水路,
草嶺溪,
草濫埤,
草濫溪,
草蘭溪,
荖土坑,
荖伙坑溪,
荖溪,
荖寮坑,
荖濃溪,
蚊子坑,
蚊子坑漁港,
蚋仔溪,
袁屋埤,
財主溪,
貢寮溪,
起拉嚕溪,
郝馬戛班溪,
郡大北溪,
郡大南溪,
郡大溪,
郡坑,
郡坑溪,
酒槽坑,
馬太鞍溪,馬鞍溪
馬斗欄坑,
馬凹溪,
馬加祿溪,
馬奴爾溪,
馬佛溪,
馬利加南溪,
馬那漢溪,
馬里山溪,
馬里加宛溪,
馬里闊丸溪,
馬里蘭溪,
馬咕帶溪,
馬岸溪,
馬拉濫溪,
馬武溪,
馬武窟溪,馬武溪
馬武窟溪,
馬哈武溪,
馬家溪,
馬海僕溪,
馬海僕溪上流,
馬崗港,
馬崙溪,
馬戛次託溪,
馬戛英溪,
馬當溪,
馬達吉,
馬達吉達溪,
馬達拉溪,
馬鈴坑,
馬遠溪,
馬槽溪,
馬鄰坑,
馬鞍溪,馬太鞍溪
馬鞍溪(馬太鞍溪),
馬霍拉斯溪,
馬麟堀,
骨頭坑,
高山溪,
高水坑,
高坡溪,
高屏溪,
高厝溪,
高埔上圳,
高埔下圳,
高埔圳,
高崗圳一線,
高崗圳二線,
高雄市第一號運河,
高雄圳,
高雄港,
高雄港第一港口,
高雄港第二港口,
高寮溪,
高貒溪,
鬼仔坑,
鬼湖,
乾水坑,
乾坑,
乾華溪,
乾溪,乾溝
乾溪,
乾溪,里仁溪
乾溪(乾溝),
乾溪仔,牛相觸西坑
乾溪仔(牛相觸西坑),
匏仔園溝,
匏仔寮溪,後湖溪
匏仔寮溪(後湖溪),
唭子坑,
唭子坑溪,
唯金溪,
啞口坑溪,
國姓圳,
國庫埤,
埤子頭埤,
埤日溪,
埤仔溝,
埤南溪,
埤寮埤,
埤頭山圳,
埤頭湖,
基隆河,
基隆河廢河道,
基隆港,
基隆港(外港),
基隆港(外港)(正濱港),
密枝溪,
將軍埤,
將軍溪,
將軍溪上游分線,
將軍溪上游線,
將軍溪排水,將軍溪
將軍漁港,
屠宰埤,
崇蘭圳,
崇蘭新圳,
崇蘭舊圳,
崎尾溪,
崎頂埤,
崎腳溪,
崑崙坑,
崗山溪,
崙子溪,
崙天溪,
崙后埤,
崙尾坑,
崙埤溪,
崙頂埤,
崠腳溪,
崩山溪,
崩坪坑,
崩溝坑溪,
康誥坑溪,
彩虹溪,
得子口溪,
得谷坑,
得勝溝,
情人湖,
掃叭圳第一支線,
掃叭圳第二支線,
掃叭圳第三支線,
掃叭圳第四支線,
掃別溪,
排水道,
排竹坑溪,
排谷溪,排骨溪
排谷溪,
排骨溪,
救國救爾溪,
旋塘溪,
望海巷漁港,
桶後溪,
梁厝埤,
梅林溪,
梅花湖(大埤),
梅堰堤坑,
梆物坡圳,
梗枋溪,
梗枋漁港,
梧棲漁港,
梵梵溪,
殺蛇溪,
涵口溪,
淡水河,
淡水國內商港,
淡水第二漁港,
淡水溪,
淡水溪支流,
淡坑,
深水溪,
深坑,
深坑子溪,安保溪
深坑子溪,
深坑子溪(安保溪),
深坑溪,大溪
深坑溪(大溪),
深埤,
深溝,
深澳坑溪,
深澳漁港,
淸水溪,
清水坑,
清水坑溪,
清水谷溪,
清水港,
清水溝,
清水溝溪,
清水溪,
清水溪,布唐薩諾阿爾溪
清水溪(布唐薩諾阿爾,
清昌溪,
清流溪,
清華圳,
清華圳一線,
清華圳二線,
清華圳三線,
清德坑,
爽文坑,
牽牛坑排水溝,
牽牛路坑,
犁頭山溪,
犁頭坑,
率芒溪,
瓠瓢坑,
盛興坑,
笨箕湖(桃園大圳第十,
第一號觀音埤,
第二號觀音埤,
第三號觀音埤,
第四號觀音埤,
粗坑,
粗坑溪,
粗紙坑溪,
粗溝,
船仔頭溪,
船形坑,
船底窩溪,
莊內圳,
莫很溪,
莫溪,
蚯蚓坑,
蚵仔寮漁港,
蚵殼港,
袖子坑溝,
許大湖溝,
許厝公埤,
許縣溪,
軟埤坑,
通霄溪,
通霄漁港,
造橋溪,
部子溪,廍子溪
都老老恩溪,
都威三號圳,
都威溪,
都歷溪,
都蘭溪,
野柳漁港,
野銀溪,
陰溝圳,
陳有蘭溪,
陳屋公埤,
陳厝坑溪,
陳厝溪,
陳寶坑溪,
陶塞溪,
雪山坑溪,
雪山坑溪上流,
雪山溪,次高溪
雪山溪,
雪見溪,
雪霧鬧溪,
頂南圳,
頂厝灣,
頂埔溪,
頂粗坑溪,
頂寮溪,
魚池溪,
魚寮溪,
鳥仔坑,
鳥松坑,
鳥巢坑,
鳥嘴潭,
鹿皮溪,
鹿耳門溪,
鹿耳門溪舊道,
鹿角坑溪,
鹿野溪,
鹿場溪,
鹿渡坑,
鹿港溪,"員林大排水,大武郡溪"
鹿港溪,
鹿湖溪,
鹿嗚坑,
鹿鳴坑溪,
鹿鳴溪,
鹿寮水庫,
鹿寮仔坑,
鹿寮北溪,
鹿寮坑,
鹿寮坑溪,
鹿寮南溪,
鹿寮溪,友蚋溪
鹿寮溪,
鹿寮溪(友蚋溪),
鹿廚坑溝,
麥巴來溪,
麥寮工業區專區港,
麻必浩溪,
麻竹坑,
麻竹坑溪,
麻利都邵溪,
麻利霧溪,
麻里都部溪,
麻油埤,
麻魚寮排水,麻魚寮溪
麻園溪,
麻園頭溪,
麻漏溪,
博博猶溪,
喀特博拉溪,
喀塔朗溪,
喬國拉次溪,
堤那巴蘭溪,
堪姆卒溪,
堰宰坑,
富林溪,
富家溪,
富基漁港,
富源溪,馬蘭鉤溪
富源溪,
富源溪(馬蘭鉤溪),
富溪,
富德溪,
富興溪,
寒溪,
尋腰溪,
彭仔存溪,
彭厝溪,
惡浪坑溪,
援中港,
斯瓦達阿溪,
斯其野溪,
普亞女溪,
普亞汝溪,
景山溪,
景美溪,
智腦灌溉水道,
智慧溪,
曾文水庫,
曾文溪,
曾文溪上游,
朝庸溪,
渡子頭溪,
温泉溪,
港口埤圳,
港口溪,
港子埔排水幹線,
港子溪,
港子墘溪,
港仔溪,
港尾子溪,
港尾子溪排水,港尾子溪
港尾溝溪,
港尾溝溪排水,港尾溝溪
港東溪,
港嘴灣,
港澳溪,
游泳池,
湖子厝圳,
湖肚一圳,
湖肚二圳,
湖底坑,
湖底埤,
湖桶坑,
湧水溪,
湯圍溪,
湳子溝溪,
湳仔坑,
湳仔溝,
湳仔溝溪,
湳坑溪,寶1-2排水
無水溪,
無名溪,
猴山坑,
猴洞坑,
猴洞坑溪,
猴猴坑,
猴龍溪,
猴櫥底坑,
番子田圳,
番子田埤,
番子坑,
番子路科溪,
番子窩坑,
番子寮圳幹線,
番子寮溪,
番子鹽溪,
番仔坑,
番仔城坑,
番仔崙埤,
番仔溪,
番仔寮埤,
番仔寮溪,
番尾坑,
番波夾坑,
番社坑溪,
番社溪,
番厝坑,
番埤圳,
番婆坑,
番婆夾坑,
番婆寮坑,
番寮溪,
番欄坑,
登仙溪,
發祥溪,
發電所坑,
硫礦坑,
稍來坪坑,
稍來溪,
筆石,
筆石溪,
筏子溪,
統領埤,
統嶺坑,
莿桐腳埤圳,
菁埔埤,
菁斛坑,
菁礐溪,
菁礜溪,
菜公坑圳,
菜公坑溪,
菜公埤,
菜園溪圳,
菜寮溪,
華泰大魚池,
華綠溪,
華興溪,到孔山溪
華興溪(到孔山溪),
蛟龍溪,
街尾圳,
象鼻坑,
貴子坑溪,
貴子坑溪,貴仔坑溪
貴水二溪,
貴仔坑溪,
跌死人坑,
跌馬坑,
逮魚堀溪,
逸久溪,
鄉長溪,
開元港,
陽明湖,
隆隆溪,
集集鎮立游泳池,
集會所溪,雷火溪
集會所溪(雷火溪),
雲林溪,
須美基溪,
飲水坑,
馮屋大埤,
黃肉坑,
黃肉溪,
黃狗坑溪,
黃埔湖,
黃高溪,
黃麻溪,
黃墘溪,
黃鳳鳴圳,
黃德坑溪,
黑石坑,
黑石壁圳,
黑肉肚腳溪,
黑東溝,
僅那鹿角溪,
勤和溪,
嗅水溪,
園塘,
圓山溪,
圓埔溝,
塔乃庫溪,
塔古夫庫拉溪,
塔瓦溪,
塔克金溪,
塔洛木溪,
塔流溪,
塔曼溪,
塔達芬溪,
塔寮坑溪,新朝溪
塔寮坑溪,
塔寮溪,
塔寮溪後港支線,
塔羅留溪,
塔羅塔羅曾北溪,
塔羅塔羅曾南溪,
塔羅灣溪,
塭子川,
塭港型厝船澳,
愛河,
新山水庫,
新打坑,
新田圳,
新圳,
新安溪,
新庄圳,
新竹漁港,
新坡下塘埤,
新店溪,
新店溪第二號排水溝,
新武呂溪,
新社坑,
新虎尾溪,
新城圳,
新城東溪,
新城溪,
新屋溪,
新厝埤,
新埔土地公埔一圳,
新班鳩溪,
新埤,
新埤排水,
新莊子溪,
新莊小溪,
新莊溪,
新都驕溪,
新港北溪,
新港南溪,
新港溪,"成功溪,巴拿尼灣溪"
新港溪,
新港溪排水,新港溪
新港漁港,
新街埤幹線,
新街排水,
新街排水溝,
新街溪,石頭溪
新街溪,
新開溪,
新隆河,老雞隆河
新隆河,"老雞隆溪,雞隆河"
新隆河,
新隆河(老雞隆河),
新園溪,
新路溪,塔加寮溪
新路溪,
新路溪(塔加寮溪),
新福圳(頭寮大池),
新福州圳十一號池,
新寮溪,
新橋溪,
新興坑排水,
新豐溪,
新豐溪北勢支線,
新豐溪波羅汶支線,
新豐溪德盛支線,
暖暖溪,
暗坑,
暗潭埤,
會社埤,
會埔大圳,
椰油南溪,
椰油溪,
椿谷溪,
楊岸溪,
楓林溪,
楓港溪,
楓溪,
楓樹坑,
楓樹坑溪,
楓樹湖南溪,
楓樹溪,
楓樹腳溪,
楓樹腳溪支線,
楓樹潭圳,
楠坑溝,
楠梓仙溪,
楠梓坑溪,
楠梓溪,
楠溪,
楣子寮溪,
源城溪,無尾溪
源城溪(無尾溪),
溝坪溪,
溪仔口溪,
溪仔埤,
溪州溝排水,
溪州溪,
溪尾寮溪,尾寮溪
溪底溝,
溪洲圳,
溪洲溪,
溪頭下埤,
溪邊寮圳,
溫水坑溪,
溫泉溪,
溫厝溪,
溫寮溪,
煌秀坑,
煙寮坑,
照平坑,
照東坑,
照鏡埤,
爺巴堪溪,
獅子頭溪,
獅子頭溪,獅頭溪
獅潭川,
獅頭坑,
獅龍溝,
獅龍溪,
瑞北坑溪,
瑞岩溪,
瑞樹坑溪,
矮山坑,
矮山坑溪,
萬丈坑溪,
萬丈深坑,
萬大水庫(碧湖),
萬大北溪,
萬大南溪,
萬大溪,
萬斗六坑,
萬安溪,
萬年溪,
萬里溪,萬里橋溪
萬里溪,
萬里溪(萬里橋溪),
萬里磺溪,
萬朝溪,
萬寮溪,
萬巒碑一支線,
萬巒碑二支線,
義興溪,
腦寮溪,
腳毛圳,
萩岡溪,
葉子寮溪,
葫蘆坑,
蜂仔坑,
蜈蚣溝,
蜈蚣溪,
蜈蜞坑,
補拉米溪,
裡冷溪,
跳瓜坑,
運河,
運動場圳,
過溝溪,
過溪,田子溪
過溪,
過溪(田子溪),
達仁溪,
達巴拉頓溪,
達美漢溪,
達茵河對溪,
達茵荷對溪,
達莫溪,
酬勤水庫,
隘丁寮溪,
隘口寮溝,
隘口寮溪,
隘界圳,
隘寮北溪,
隘寮南溪,
隘寮溪,
隘寮溪排水溝,
雷公坑,乾溪
雷公坑,
雷公坑(乾溪),
雷公坑溪,
雷公埤溝,
雷公溪,
電子坑,
電火溪(城廓圳),
電光一號溪,
電光二號溪,
韮菜坑溪,
鼎底窩,
嘉武溪,
嘉農溪,
嘉興排水,
嘉興溪,
嘉豐一號溪,
嘉豐二號溪,
嘉豐溪,
嘉寶溪,
墘溪,
壽豐溪,知呀漢溪
壽豐溪,
壽豐溪(知呀漢溪),
夢幻湖,
實谷富溪,
寧埔溪,
寧靜湖,
寧靜湖(田寮水庫),
廍子溪,
廓子埤支線,
廓子溪,
廔布魯溪,
慈恩溪,魯翁溪
慈恩溪,
慈恩溪(魯翁溪),
摸乳巷坑,
旗山溪,
旗南灌溉圳,
榮華溪,
榴公圳,
滬尾漁港,
滴水坑溪,
漁人溪,
漁港碼頭,
漁澳漁港,
演戲埔腳圳,
熊空溪,
瑪谷溪,
瑪拉拉歐溪,
瑪陵坑溪,
瑪鋉溪,
瑪鍊溪,
瑪鍊漁港(萬里漁港),
瑪韃娜溪,
碧水溪,
碧旦溪,
碧砂漁港,
碧湖溪,
碧綠溪,
福安坑溪,
福烘溪,
福德坑圳,
福德坑溪,
福德溪,
福興坑排水,
福興溪,
福龜圳,
福龜林圳,
種瓜坑,
箕南窩溪,
綠川,
綠茂溪,
網尾埤,
網紗溪,
網寮港,
翠峰湖,
翡翠水庫,
翡翠湖,
臺坂溪,
艋舺溪,
䓫萊溪,
蒼庫溪,倉庫溪
蒼庫溪,
銅像埤,
銅鑼圈圳,
銅鑼埤,
鳳山水庫,
鳳山溪,
鳳山溪,前鎮河
鳳山溪支線,
鳳林溪,
鳳梨坑,
鳳溪,巴托魯溪
鳳溪,
鳳溪(巴托魯溪),
鳴頭坑,
鼻頭溪,
鼻頭漁港,
劉陳坑,
劍潭水庫,
廟仔坑,
廟後坑,
廟料坑,
廣源記圳,
德元埤,
德荃溪,
德盛溪,
德慶溪,
德興池(拐子湖),
德龜溪,
德龜溪中崙支線,
慶安水道,
撤林子埤,
樁谷溪,
樂合溪,
樂和溪,
樂樂溪,拉庫拉庫溪
樂樂溪,
樂樂溪(拉庫拉庫溪),
樟平溪,
樟湖坑,
樟湖坑溪,
樟湖溪,
樟腦寮坑,
潭仔底溝,
潭頂溪,
澄清湖(大貝湖),
澐水溪,
犛園寮坑,
盤山坑溪,
碼崙溪,
碼頭,
線尾溪,
線美溪,
蓮生坑,
蓮池,
蓮花池,
蓮花池坑,
蓮花池溝,
蓮花潭,
蔗廓坑,
蝦仔坑,
豬灶溪,
豬屠溝,
醉夢溪,
霄埤,
霄裡池,
霄裡溪,
鞍馬溪,
駝背橋坑,
魯丹溪,
學仔溪,
學校坑,
學校埤,
憨狗崙坑,
樹杞林圳,
樹林溪,七股中排
樹林溪(七股大排),
樹林溪(七股中排),
樹梅坑溪,
樹湖溪,
樹橋窩,
橋頭寮溪,
橫山大埤,
橫山溝,
橫圳支線,
橫坑,
橫坑溪,
橫流溪,
橫溝,
橫溪,
橫窠溪,
澳底漁港,
澳花溪,
濁口溪,
濁水坑,
濁水坑溪,
濁水溪,西螺溪
濁水溪,奇萊主溪
濁水溪,馬咕帶溪
濁水溪,
濁水溪(西螺溪),
濁水溪(奇萊主溪),
濁水溪(馬咕帶溪),
濁水溪上游,
燈潭河,
燒灰子坑,
燒炭坑,
燒炭窩溪,
燒寮坑,
燕子巢,
燕坑,
獨座溪,
磨力溪,
磨仔港溪,
興仁溪,
興仁溪,興化店溪
興化店溪,興仁溪
興化店溪,
興店圳,
興達港,
蕃子澳漁港,
蕃薯溪,
蕃薯寮溪,
蕉仔湖溪,
褲頭溝,
豫章湖,
貓公溪,八里灣溪
貓公溪(八里灣溪),
貓羅坑排水,
貓羅溪,
錢厝坑,
錦安坑,
錦屏溪,
霍俄索溪,
靜心湖,
頭坑,
頭坑溪,
頭汴坑溪,南溪
頭汴坑溪,
頭汴坑溪(南溪),
頭社水庫,
頭社排水溝,
頭前溪,
頭城溪,
頭洲溪,
頭重溪,
頭埤圳,
頭湖圳,
頭溝水圳,
頭溝溪排水,
頭溢坑,
頭溪,
駱駝坑,
鴛鴦湖,
龍山港,
龍目井溪,
龍形溪,
龍虎斗坑,
龍虎鬪坑,湳底溪
龍門溪,
龍泉圳,
龍泉溪,
龍洞溪,
龍洞漁港,
龍宮溪,
龍崗北坑,
龍崗南坑,
龍喉坑,
龍港漁港,
龍蛟水溪,
龍蛟溪,
龍溪,巴托蘭溪
龍溪,
龍溪(巴托蘭溪),
龍鳳漁港,
龍潭湖,
龍樹坑埤,
龍頸溪,
龍鑾潭,
龍鑾潭排水溝,
龍鑾潭A線,
龍鑾潭B線,
龜山漁港,
龜丹溪,
龜內溪,
龜仔坑,
龜吼漁港,
龜洞溪,
龜重溪,
龜殼溪,
龜墓埤,
龜潭,
龜頭坑,
檍仔林坑,
檜溪,
檨仔林坑,
澀子坑,
濟水坑,
濫埤,
營盤坑溪,
營盤溪,
燥坑,
環溝埤幹線,
磺港溪,
磺港漁港,
磺溪,
磺窟溪,
礁雙溪,
糞箕湖幹線,
糞箕窩溪,
糠榔溪,
糠溝溪,
薯寮溪,"蕃寮溪,蕃薯寮溪"
薯寮溪,
螺仔溪,
避風港,
鍾連溪,
闊闊庫溪,
闊闊斯溪,
霞喀羅溪,
霞雲溪,
鴿鳥坑溪,
甕仔坑,
禮門溪,
翻社坑溪,
舊二林溪,
舊公館二圳,
舊公館圳,
舊生毛樹溪,大溪
舊生毛樹溪(大溪),
舊旱溪,
舊社埤,
舊虎尾溪,
舊洋仔厝溪,
舊班鳩溪,
舊埤,
舊莊溪,
舊港圳,
舊寮溪,
舊濁水溪,麥嶼溪
舊濁水溪(麥嶼溪),
薩夫薩夫魯夫溪,
薩克亞金溪,
藍仔田坑,
覆鼎金圳,
豐坪溪,太平溪
豐坪溪,
豐坪溪(太平溪),
豐坪溪上游(太平溪上,
豐泉圳,
豐濱溪,
轉溝水圳,
鎮平溪支線,
雙坑溪,
雙面坑,
雙連埤,
雙連溪,
雙溝,
雙溪,
雙溪口溪,
雙溪子坑,
雙溪河,雙溪
雙腳圳,
雙龍坑,甕子坑
雙龍坑(甕子坑),
雞柔排溪,
雞籠坑,
額落烏溪,
鯉魚石坑,
鯉魚尾坑,
鯉魚潭,
鯉魚潭水庫,
鯉魚頭坑,
壟鉤坑,
寳斗溪,
廬芝坑溝,
瀧乃溪,
羅東溪,
羅英溪,
羅厝大埤,
羅莫溪,
藤寮溪,
藤橋溪,
鏡面水庫,
關刀山坑,
關刀溪,
關渡溪,
關廟溪,
霧社溪,
霧峰圳,
霧鹿溪,
霧霜排水,
鯤鯓湖,
麒麟坑,
麒麟潭,
麗太溪,
麗池,
寶山水庫,
寶斗厝坑,"麒麟坑,寶斗厝坑溪"
寶斗溪,
寶里苦溪,
寶來溪,
寶典溪,
寶珠排水溝,
瀰力河,
蘆竹坑,
蘆竹埤,
蘆芝坑溪,
蘇耶里溪,
蘇魯坑,
蘇澳溪,
騰崎仔腳溪,
鹹水坑,
籐寮坑溪,
籐橋溪,
蘭陽溪,
護城河,
露門溪,
鶯歌溪,
鶴岡溪,
巒大溪,
讀卜吾溪,
讀吾溪,
鰲溪,
鱉溪,
巖後埤,
巖埤,
𩻸魚堀溪,
麟洛溪,
罐子埤,
鷺山坑,
鹽土坑,
鹽土坑溪,
鹽土溪,
鹽井坑,
鹽水大埤,
鹽水坑,
鹽水坑溝,
鹽水坑溪,
鹽水港溪,山鹽溪
鹽水溪,
鹽地仔溝,
鹽埔漁港,
鹽埕溪,
鹽桑坑,
鹽桑坑溪,
鹽港溪,
鹽寮漁港,
鹽濱一號圳,
鹽濱二號圳,
鹽濱三號圳,
鹽濱六號圳,
鹽濱四號圳,
欖仁溪,
灣丘溪,
灣坑,
灣潭埤,
灣潭溪,
灣橋排水溝,
觀石溪,
觀光大池,龍潭埤
觀音山圳,
觀音山溪,
觀音坑,
觀音坑溪,
觀音湖,總督埤
觀音溪,
觀音溪坑溪,
鱸曼洞圳,
虌溪,
鸞山溪,
𤩲瑪蘭坑溪,
𫙮魚坑溪,
