項次,縣市別,執行機關,工程名稱,"TWD97座標
(X)","TWD97座標
(Y)","總經費
(千元)","總中央款
(千元)","總地方款
(千元)",備註,,
43,雲林縣,雲林縣政府,下崙大排一右岸3號水門改善應急工程,163832.75,2614220.28," 2,500 "," 2,050 ", 450 ,,,
44,雲林縣,雲林縣政府,外湖溪大埔橋下游護岸(0K+410~0K+560)應急工程,208103,2625122," 10,000 "," 8,200 "," 1,800 ",,,
45,雲林縣,雲林縣政府,湳仔村暗港大排改善應急工程,202290,2617084," 7,320 "," 6,002 "," 1,318 ",,,
46,雲林縣,雲林縣政府,台西鄉火燒牛稠大排截流處通水箱改善暨1號水門移動式抽水機平台應急工程,169852.147,2619486.634," 3,154 "," 2,586 ", 568 ,,,
47,雲林縣,雲林縣政府,口湖鄉水井村蔦松大排護岸改善應急工程,165094,2602368," 9,500 "," 7,790 "," 1,710 ",,,
48,雲林縣,雲林縣政府,元長鄉山子內大排側溝改善應急工程,179620.168,2617437.542," 2,000 "," 1,640 ", 360 ,,,
49,雲林縣,雲林縣政府,麥寮鄉施厝分線排水改善應急工程,173033.683,2629731.516," 17,000 "," 13,940 "," 3,060 ",,,
50,雲林縣,雲林縣政府,口湖鄉新港大排二排水路應急工程,164506.758,2609555.345," 40,000 "," 32,800 "," 7,200 ",,,
51,雲林縣,雲林縣政府,口湖鄉牛挑灣溪左岸防洪牆改善應急工程,163892,2604565," 5,000 "," 4,100 ", 900 ,,,
52,嘉義縣,嘉義縣政府,塭港排水護岸改善應急工程,165230,2597376," 14,000 "," 12,600 "," 1,400 ",,,
53,嘉義縣,嘉義縣政府,新港鄉埤子頭排水(高鐵橋)上游左岸應急工程,182267,2608386," 28,000 "," 25,200 "," 2,800 ",,,
54,嘉義縣,嘉義縣政府,朴子溪支流系統-灣橋排水埤塘段改善應急工程,199540,2598628," 8,000 "," 7,200 ", 800 ,,,
55,嘉義縣,嘉義縣政府,大林鎮大美里大埔美排水大美橋上游段應急工程,199631,2610171," 6,000 "," 5,400 ", 600 ,,,
56,嘉義縣,嘉義縣政府,春珠排水梅埔里改善應急工程,182480,2593480," 11,550 "," 10,395 "," 1,155 ",,,
57,嘉義縣,嘉義縣政府,義竹鄉後鎮排水護岸改善應急工程,168231,2584028," 24,000 "," 21,600 "," 2,400 ",,,
58,嘉義縣,嘉義縣政府,新埤排水支流(黃厝港段)改善應急工程,185722,2596430," 4,000 "," 3,600 ", 400 ,,,
