name,alt,city,town
十八線中排,,雲林縣,麥寮鄉
十三分坑,,宜蘭縣,"冬山鄉,南澳鄉"
十三份坑排水,,宜蘭縣,冬山鄉
十三份排水,,雲林縣,斗六市
十三股大排,,宜蘭縣,礁溪鄉、壯圍鄉
十三寮排水,,臺中市,大雅區
十五小給線,,新北市,三芝區
十五間溪,,桃園市,新屋區
十六份排水,,宜蘭縣,冬山鄉、羅東鎮
十文溪,,臺中市,和平區
十四小給線,,新北市,三芝區
十四坑,,基隆市,七堵區
十四張圳支線,,臺中市,
十四寮大埤,,新竹縣,峨眉鄉
十股坑,十股坑排水,苗栗縣,苑裡鎮
十股坑排水,,苗栗縣,苑裡鎮
十股排水,,臺東縣,臺東市
十股溪,,宜蘭縣,礁溪鄉
十區埤,,新北市,三芝區
十張犁圳,,高雄市,杉林區
三七北圳幹線,,桃園市,楊梅區
三七南圳幹線,,桃園市,新屋區、楊梅區
三叉坑溪,,新北市,雙溪區
三屯圳,,桃園市,龍潭區
三屯圳,,新竹縣,關西鎮
三仙溪,,臺東縣,成功鎮
三仙溪排水,,花蓮縣,花蓮市
三奶壇排水,,高雄市,大社區
三民排水,,花蓮縣,玉里鎮
三民溪,,桃園市,"復興區,大溪區"
三份圳,,屏東縣,內埔鄉
三份坑,,宜蘭縣,頭城鎮
三合大排,,雲林縣,土庫鎮、虎尾鎮
三吉中排一,,臺南市,將軍區
三百六坑,,苗栗縣,造橋鄉
三坎溝,,臺南市,大內區
三坑,,宜蘭縣,大同鄉
三角泳支線,,臺中市,大雅區
三姓公溪,,新竹市,香山區
三姓溪,三姓公溪,新竹市,香山區
三股溪,大塭寮大排,臺南市,"七股區,西港區"
三舍排水,,臺南市,新市區
三星排水,,宜蘭縣,三星鄉
三界排水幹線,,新北市,金山區
三重溪,,嘉義縣,"中埔鄉,大埔鄉"
三重溪,,臺南市,白河區
三重歷溪,,新竹縣,竹東鎮
三家春坑,,彰化縣,花壇鄉
三峽溪,,新北市,"土城區,三峽區,樹林區"
三崁排水,,臺中市,外埔區
三張廍排水北支線,,屏東縣,里港鄉
三張廍排水幹線,,屏東縣,里港鄉
三條圳幹線第一支線,,彰化縣,溪州鄉
三條崙漁港,,雲林縣,四湖鄉
三棧北溪,,花蓮縣,秀林鄉
三棧南溪,,花蓮縣,"秀林鄉,新城鄉"
三間二號圳,,臺東縣,長濱鄉
三間屋溪,,臺東縣,長濱鄉
三塊石埤,,桃園市,大園區
三塊厝溝,,高雄市,"楠梓區,橋頭區,燕巢區"
三溝排水支線,,屏東縣,恆春鎮
三爺溪排水,,高雄市,湖內區
三爺溪排水,,臺南市,"仁德區,南區"
三爺溪排水,,"臺南縣,臺南市",
三號排水路,,臺南市,南區
三號溪,,南投縣,信義鄉
三農場排水,,花蓮縣,壽豐鄉
三寮灣部落排水,,臺南市,北門區
三寮灣堤外線排水,,臺南市,北門區
三寮灣溪,,臺南市,北門區
三層坪坑,,宜蘭縣,"冬山鄉,南澳鄉"
三興坑排水,,南投縣,南投市
三興坑排水支線,,南投縣,南投
三灣圳,,苗栗縣,三灣鄉
上大埤頭,,桃園市,觀音區
上中福支線,,桃園市,蘆竹區桃園區
上內立坑溪幹線,,新竹縣,新埔鎮
上水圳,,宜蘭縣,員山鄉
上四座屋圳,,新竹縣,新埔鎮
上吳屋坑幹線,,新竹縣,新埔鎮
上坑,,臺中市,石岡區
上坑支線,上坑排水,新竹縣,新豐鄉
上坑排水,上坑支線,新竹縣,新豐鄉
上坪圳,,苗栗縣,大湖鄉
伊卡丸溪,,臺中市,和平區
伊卡丸溪,,宜蘭縣,大同鄉
有勝溪,,宜蘭縣,大同鄉
有勝溪,,臺中市,和平區
玉峰溪,馬里闊丸溪,桃園市,復興區
三光溪,,桃園市,復興區
八甲溪,,新北市,"石門區,三芝區"
加路蘭溪,加蘭溪,花蓮縣,豐濱鄉
司界蘭溪,"四季郎溪,蘇七蘭溪,Skilan",臺中市,和平區
大富溪,,花蓮縣,秀林鄉
大德溪,,臺東縣,長濱鄉
大武溪,茶茶牙賴溪,臺東縣,"達仁鄉,大武鄉"
水母溪,,臺東縣,長濱鄉
水連溪,水璉溪,花蓮縣,壽豐鄉
蘇澳溪,,宜蘭縣,蘇澳鎮
兔子坑溪排水,鶯歌溪,新北市,鶯歌區
石山圳,石山溪,臺東縣,臺東市
七股溪,劉厝排水,臺南市,"佳里區,七股區"
柯子湖溪,柯壢坑,新竹縣,",新竹市"
打馬溝溪,,苗栗縣,公館鄉
飛鳳溪,,苗栗縣,頭屋鄉
拔仔岡溪,,苗栗縣,頭屋鄉
三峽河,三峽溪,新北市,"土城區,三峽區,樹林區"
三笠溪,,花蓮縣,玉里鎮三民
大內坑溪,,基隆市,",新北市瑞芳區"
大肚滑溪,,花蓮縣,瑞穗鄉
大興溪,,花蓮縣,"光復鄉,萬榮鄉"
山里一號溪,,臺東縣,卑南鄉
山里溪,,臺東縣,卑南鄉
中平溪,,花蓮縣,卓溪鄉
中埔溪,,新北市,三峽區
中野溪,,臺東縣,卑南鄉
中間溪,,新北市,深坑區
內田子溪,,南投縣,竹山鎮
內林溪,,雲林縣,斗六市
太多蘭溪,,花蓮縣,瑞穗鄉
文蘭溪,,花蓮縣,壽豐鄉
牛稠埔坑溪,,臺南市,白河區
仙草埔溪,,臺南市,白河區
加里洞溪,卡里屯溪,花蓮縣,鳳林鎮
加典溪,,臺東縣,"關山鎮,鹿野鄉"
北清水溪,,花蓮縣,鳳林鎮
打巴溪,,花蓮縣,卓溪鄉
安泰溪,,臺北市,內湖區
老佛溪,,屏東縣,滿州鄉
老泉溪,,臺北市,文山區
志航溪,,宜蘭縣,大同鄉
佳冬溪,,屏東縣,佳冬鄉
拔下二溪,,基隆市,七堵區
旺萊溪,,高雄市,燕巢區
阿夜西溪,安夜西溪,花蓮縣,瑞穗鄉
阿拔泉溪,,嘉義縣,"竹崎鄉,阿里山鄉"
阿美溪,阿眉溪,花蓮縣,玉里鎮
南庄溪,,新竹縣,南庄鄉
南清水溝溪,,南投縣,鹿谷鄉
柑仔坑溪,,宜蘭縣,三星鄉
茂安溪,,宜蘭縣,大同鄉
馬太鞍溪,馬鞍溪,花蓮縣,"萬榮鄉,鳳林鎮,光復鄉"
馬遠溪,,花蓮縣,萬榮鄉
崙埤溪,,宜蘭縣,大同鄉
莫溪,,花蓮縣,光復鄉
頂埔溪,,嘉義縣,竹崎鄉
麻魚寮排水,麻魚寮溪,嘉義市,",嘉義縣水上鄉,太保市"
寒溪,,宜蘭縣,大同鄉不老部落
番子路科溪,,嘉義縣,竹崎鄉
圓山溪,,宜蘭縣,三星鄉員山村
溪尾寮溪,尾寮溪,新北市,雙溪區
萬寮溪,,彰化縣,和美鎮
雷公坑溪,,南投縣,竹山鎮
電光一號溪,,臺東縣,池上鄉
電光二號溪,,臺東縣,池上鄉
嘉興溪,,宜蘭縣,大同鄉
嘉豐一號溪,,臺東縣,卑南鄉
嘉豐二號溪,,臺東縣,卑南鄉
嘉豐溪,,臺東縣,卑南鄉
福德溪,,宜蘭縣,頭城鎮
德荃溪,,宜蘭縣,大同鄉
樂和溪,,花蓮縣,玉里鎮
龍虎鬪坑,湳底溪,臺中市,潭子區
龍宮溪,,嘉義縣,布袋鎮
雙溪河,雙溪,新北市,"雙溪區,貢寮區"
羅莫溪,,花蓮縣,光復鄉
關渡溪,,臺北市,北投區
鰲溪,,花蓮縣,富里鄉
鹽水港溪,山鹽溪,高雄市,小港區
七里溪,,屏東縣,"獅子鄉,枋山鄉"
七里溪,,臺東縣,東河鄉
七股排水,,臺南市,七股區
九番埤,,高雄市,仁武區
九番埤排水,,高雄市,仁武區
二重溪,,屏東縣,里港鄉
二重溪,,高雄市,旗山區
二重溪,,臺中市,"北區,北屯區,太平區,潭子區"
二重溪,,桃園市,楊梅區
二寮溪,,嘉義縣,大埔鄉
二寮溪,,高雄市,那瑪夏區
三光溪,,宜蘭縣,大同鄉
三合溪,,高雄市,六龜區
三合溪,,南投縣,國姓鄉
三坑溪,,新北市,平溪區
三坑溪幹線,,桃園市,龍潭區
三塊厝排水,,南投縣,南投市
三塊厝排水,,臺中市,大安區
三塊厝排水幹線,,南投縣,南投
新港溪排水,新港溪,苗栗縣,竹南鎮
乾華溪,,新北市,石門區
埔坪溪,,新北市,三芝區
塔寮坑溪,新朝溪,新北市,"樹林區,新莊區"
大溪川,大溪溪,宜蘭縣,頭城鎮
寶來溪,,高雄市,"六龜區,桃源區"
尖山腳溪,,新北市,貢寮區
山間溪,,臺東縣,長濱鄉
廍子溪,,臺中市,"太平區,北屯區"
東澳溪,,宜蘭縣,"蘇澳鎮,南澳鄉"
林子溪,"公司田溪,楓樹湖溪,北投溪",新北市,淡水區
沙灣溪,,臺東縣,成功鎮
津林溪,,臺東縣,"大武鄉,達仁鄉"
馬武窟溪,馬武溪,臺東縣,"成功鎮,東河鄉"
後洲溪,,新北市,淡水區
深澳坑溪,,新北市,瑞芳區
瑪鋉溪,,新北市,萬里區
禮門溪,,新北市,汐止區
