name,alt,city,town
中嵙溪,,臺中市,和平區
中嵙溪支線,,臺中市,東勢區
中港,,屏東縣,牡丹鄉
中港溪,,臺北市,北投區
中園排水,,花蓮縣,吉安鄉
中溝,,花蓮縣,富里鄉
中溝支線排水,,苗栗縣,苑裡鎮
中路坑,,南投縣,埔里鎮
中路排水,,高雄市,阿蓮區
中寮溪排水幹線,,南投縣,中寮
中興段排水,,臺中市,大里區
中興排水,,花蓮縣,富里鄉
中興湖,,臺中市,南區
中濱溪,,臺東縣,長濱鄉
中營圳,,屏東縣,車城鄉
丹大西溪,,南投縣,信義鄉
丹大東溪,,南投縣,信義鄉
五十溪,,,
五分二圳,,新竹縣,新埔鎮
五分坪二圳,,新竹縣,新埔鎮
五分港溪,,臺北市,北投區
五爪庵坑,,屏東縣,恆春鎮
五凸分溝,,花蓮縣,富里鄉
五甲尾排水,,高雄市,岡山區
五甲勢排水,,臺南市,新化區
五甲漁港,,臺中市,大安區
五里坑,,彰化縣,大村鄉
五里坑溝,,高雄市,田寮區
五里埔圳,,高雄市,甲仙區
五和排水,,高雄市,仁武區
五房排水幹線,,屏東縣,新園鄉
五股坑排水幹線,,新北市,五股區
五股坑溪,,新北市,五股區
五股坑溪,,新北市五股區,
五股排水,,宜蘭縣,五結鄉、冬山鄉、蘇澳鎮
五軍營排水,,臺南市,柳營區
五重溪,,新北市,烏來區
五崁溪,,臺南市,關廟區
五座屋下三嵌店圳,,新竹縣,芎林鄉
五座屋圳,,新竹縣,芎林鄉
五條港支線,,雲林縣,臺西鄉
五票坑,,南投縣,仁愛鄉
五棚坑,,南投縣,國姓鄉
五湖上圳,,苗栗縣,西湖鄉
五湖中圳,,苗栗縣,西湖鄉
五湖排水,,苗栗縣,西湖鄉
五結排水,,宜蘭縣,五結鄉
五間厝排水,,嘉義縣,義竹鄉
五溝水圳,,屏東縣,萬巒鄉
五溝水圳二線,,屏東縣,萬巒鄉
五溝水圳五線,,屏東縣,萬巒鄉
五溝水圳四線,,屏東縣,萬巒鄉
五溪,,,
五號排水支線,,屏東縣,鹽埔鄉
五福溪,,臺中市,烏日區
五寮河,,新北市,三峽區
五寮河,,桃園市,大溪區
五德1號排水路,,澎湖縣,馬公市
五德2號排水路,,澎湖縣,馬公市
五權溪,,高雄市,那瑪夏區
五鬮支線,,新北市,三峽區
井子腳溝湖溝,,高雄市,大樹區
井仔坑,,彰化縣,員林市
井仔埤,,苗栗縣,通霄鎮
井垵1號排水路,,澎湖縣,馬公市
井垵2號排水路,,澎湖縣,馬公市
井垵3號排水路,,澎湖縣,馬公市
什股排水幹線,,彰化縣,伸港鄉
仁武排水,,高雄市,仁武區
仁美排水,,高雄市,鳥松區
仁愛民族支線,,臺中市,梧棲區
仁愛河,,高雄市,鼓山區
仁義潭水庫,,嘉義縣,番路鄉
仁福排水,,高雄市,仁武區
仁德排水,,臺南市,仁德區、歸仁區
內田排水排水路,,嘉義縣,布袋鎮
內立坑,,新竹縣,新埔鎮
內江排水,,臺南市,大內區
內底林圳,,南投縣,埔里鎮
內東坑溪,,,
內社溪,,屏東縣來義鄉,
內社溪,,屏東縣,來義鄉
內垵1號排水路,,澎湖縣,西嶼鄉
內城圳,,宜蘭縣,員山鄉
內城排水,,宜蘭縣,員山鄉
內洞溪,,新北市,烏來區
內茅埔溪排水幹線,,南投縣,信義
內埔子水庫,虎頭崁埤,嘉義縣,民雄鄉
內埔子圳幹線,,嘉義縣,民雄鄉
內埔坑,,臺南市,大內區
內島溪,,苗栗縣,通霄鎮
內埤漁港,,宜蘭縣,蘇澳鎮
內惟埤,,高雄市,鼓山區
內惟埤九分圳,,高雄市,鼓山區
內惟埤排水溝,,高雄市,鼓山區
內湖大埤,,臺北市,內湖區
內湖大排,,雲林縣,口湖鄉
內湖溪,,屏東縣,高樹鄉
內湖溪,,苗栗縣,通霄鎮
內湖溪排水,,苗栗縣,通霄鎮
內暗坑,,南投縣,竹山鎮
內溝溪,,新北市,汐止區
"內溝溪排水
(左岸)",,新北市,汐止區
內溝溪排水（右岸）,,臺北市,
內溪洲排水路,,嘉義縣,水上鄉
內寮河排水,,高雄市,杉林區
內寮溪,,高雄市,杉林區
內寮溪,,屏東縣,枋寮鄉
內寮溪,,新北市,貢寮區
內潭埤,,臺南市,關廟區
內險坑,,臺中市,太平區
內轆排水支線,,南投縣,南投
內轆排水支線─1,,南投縣,南投
內灣圳,,苗栗縣,三灣鄉
內灣圳排水,,苗栗縣,卓蘭鎮
內灣坑,,臺南市,南化區
內灣幹線,,新竹縣,橫山鄉
公司田溪,,新北市,淡水區
公田埤,,桃園市,觀音區
公林溪,,南投縣,魚池鄉
公埔排水幹線,,南投縣,南投
公埤,,桃園市,觀音區
公館支線,,苗栗縣,竹南鎮
公館仔排水,,苗栗縣,竹南鎮、頭份鎮
公館排水,,嘉義縣,中埔鄉
公館排水,,苗栗縣,公館鄉
六分寮中排一,,臺南市,善化區
六分寮中排二,,臺南市,善化區
六斗坑,,雲林縣,古坑鄉
六斗坑,六斗坑溪,雲林縣,古坑鄉
六古溪,,桃園市,楊梅區
六甲坑,,臺南市,六甲區
六甲溪,,臺南市,仁德區
六成中排一,,臺南市,七股區
六成排水,,臺南市,七股區
六汴溝排水支線,,南投縣,草屯
六秀坑,,高雄市,杉林區
六股埤,,桃園市,新屋區
六股排水幹線,,彰化縣,伸港鄉和美鎮
六股溪,,新竹縣,新豐鄉
六股溪,,桃園市,楊梅區
六股溪排水,,"桃園縣,新竹縣",
六界溪,,高雄市,六龜區
六塊中排,,雲林縣,褒忠鄉
六塊厝排水支線,,屏東縣,屏東市
六塊厝漁港,,新北市,淡水區
六塊寮排水,,臺南市,安定區、安南區
六腳排水路,,嘉義縣,東石鄉、六腳鄉、新港鄉
六號排水支線,,屏東縣,鹽埔鄉
六雙溪,,臺南市,官田區
友蚋溪,,基隆市,
双叉坑溪,,,
天河水庫,,臺東縣,蘭嶼鄉
天長溪,,花蓮,
天長溪,,花蓮縣,秀林鄉
天然釣魚池,,南投縣,魚池鄉
太子宮中排,,臺南市,新營區
太子廟中排,,臺南市,歸仁區、仁德區、永康區
太平一圳,,臺中市,太平區
太平二圳,,臺中市,太平區
太平坑,,臺東縣,卑南鄉
太平溪,,臺東縣,卑南鄉
太平窩坑幹線,,新竹縣,新埔鎮
太石盤溪,,屏東縣,枋山鄉
太康排水,,臺南市,柳營區
太陽埤,,宜蘭縣,員山鄉
夫布爾溪,,宜蘭縣,
少年溪,布唐布那斯溪,高雄市,
巴巴那班溪,,屏東縣,霧臺鄉
巴拉吾溪,,臺中市,和平區
巴拉歐溪,,臺東縣,金峰鄉
巴油溪,,屏東縣,霧臺鄉
巴朗溪,,花蓮縣,光復鄉
扎孔溪,,新北市,烏來區
文山溪,,臺中市,南屯區
文壯溪,,宜蘭縣,頭城鎮
文秀坑,,,
文秀坑溪,,新北市,貢寮區
文武排水,,高雄市,仁武區
文賢溪,,高雄市,湖內區
斗六東溪,,雲林縣,林內鄉
斗里斗里溪,,臺東縣,金峰鄉
斗門埤,,桃園市,中壢區
斗門溪,,金門縣,金沙鎮
斗崙支線,,新竹縣,竹北市
斗涵坑,,苗栗縣,公館鄉
斗羅溪,,屏東縣,來義鄉
日月潭,,南投縣,魚池鄉
日本坑,,苗栗縣,獅潭鄉
日石埤,,桃園市,大溪區
日新溪排水,,臺南市,南區
月世界排水,,高雄市,田寮區
月眉二圳,,新北市,金山區
月眉圳,,桃園市,大溪區
月眉排水,,宜蘭縣,羅東鎮、冬山鄉
月眉排水支線,,臺中市,后里區
月眉排水支線,,彰化縣,和美鎮
月眉排水幹線,,新北市,金山區
月桂溪,,宜蘭縣,大同鄉
月桃溪,,桃園市,大園區
木瓜溪,,臺東縣,卑南鄉
木柵中排,,臺南市,東山區
木屐溪,,嘉義縣,竹崎鄉
木屐蘭溪排水支線,,南投縣,魚池
木勝溪,,高雄市,茂林區
比林溪,,苗栗縣,南庄鄉
毛樹溪,"大溪,生毛樹溪,舊生毛樹溪",嘉義縣,梅山鄉
水井湖坑,,南投縣,魚池鄉
水母丁溪,,臺東縣,長濱鄉
水母北溪,,臺東縣,長濱鄉
水母北溪,,花蓮縣,豐濱鄉
水坑,,臺中市,東勢區
水坑,,彰化縣,花壇鄉
水坑,,新竹縣,關西鎮
水坑溪,,臺南市,龍崎區
水尾大排,,苗栗縣,後龍鎮
水尾仔圳,,苗栗縣,後龍鎮
水尾圳,,苗栗縣,大湖鄉
水尾坪圳,,苗栗縣,大湖鄉
水尾排水幹線,,南投縣,南投
水尾溝,,新竹縣,寶山鄉
水尾溝（寶1-1排水）,,新竹縣,寶山鄉
水尾溪排水,,苗栗縣,三義鄉
水尾溪排水幹線,,南投縣,魚池鄉
水尾溪排水幹線─1,,南投縣,魚池
水尾溪排水幹線─2,,南投縣,魚池
水尾溪排水幹線─3,,南投縣,魚池
水尾溪排水幹線─4,,南投縣,魚池
水尾溪排水幹線─5,,南投縣,魚池
水汴頭上圳,,新北市,淡水區
水底寮圳,,屏東縣,枋寮鄉
水底寮圳幹線,,屏東縣,枋寮鄉
水底寮坑,,嘉義縣,大埔鄉
水底寮溪,,嘉義縣,竹崎鄉
水泄排水幹線,,南投縣,草屯
水社水尾溪,,南投縣,水里鄉
水長流排水幹線─2,,南投縣,國姓
水長流排水幹線─3,,南投縣,國姓
水長流排水幹線─4,,南投縣,國姓
水長流排水幹線─5,,南投縣,國姓
水長流溪,,臺中市,新社區
水垵3號排水路,,澎湖縣,望安鄉
水流東坑,,臺南市,六甲區
水流東坑第二支線,,臺南市,六甲區
水流東排水,,新竹縣,峨眉鄉
水流東排水幹線,,南投縣,埔里
水流東溪,,南投縣,國姓鄉
水流東溪,,臺南市,左鎮區
水流東溪支流,,南投縣,埔里鎮
水流娘圳,,苗栗縣,苗栗市
水美湖底溝排水,,臺中市,外埔區
水崛頭坑,,臺中市,西屯區
水笨流溪,,嘉義縣,番路鄉
水湳洞船澳,,新北市,瑞芳區
水碓子圳,,新北市,淡水區
水碓窠溪,,新北市,泰山區
水碓窠溪,,桃園市,龜山區
水粯頭圳,,新北市,淡水區
水道坑,,南投縣,水里鄉
水雉埤,,嘉義縣,大林鎮
水寮分線一,,高雄市,大樹區、鳥松區
水寮分線二,,高雄市,大樹區、鳥松區
水璉溪,,花蓮縣,壽豐鄉
水確窠溪,,新北市,五股區
水磨坑溪,,臺北市,北投區
水頭屋圳,,苗栗縣,西湖鄉
水頭寮圳,,苗栗縣,大湖鄉
火培溪,,南投縣,魚池鄉
火燒牛稠大排,,雲林縣,臺西鄉、東勢鄉
火燒寮坑,,嘉義縣,大埔鄉
火燒寮溪,,新北市,平溪區
牛山溪,,嘉義縣,番路鄉
牛坔排水,,臺南市,六甲區
牛尿港大排,,雲林縣,口湖鄉
牛角坑,牛角坑溪,高雄市,美濃區
牛角坑溝,,臺中市,大里區
牛角坑溪,,南投縣,中寮鄉
牛角南埤,,桃園市,大溪區
牛角灣溪,涼山溪,屏東縣,"萬巒鄉,內埔鄉,瑪家鄉"
牛車窩壢支線,,新竹縣,新埔鎮
牛坪坑,,臺中市,和平區
牛挑灣大排,,雲林縣,水林鄉
牛挑灣溪,,雲林縣,"水林鄉,四湖鄉,口湖鄉"
牛相觸一號坑,,南投縣,埔里鎮
牛相觸二號坑,,南投縣,埔里鎮
牛相觸圳,,南投縣,埔里鎮
牛食坑支線,,高雄市,大社區
牛食坑溪,,,
牛埔子溪,,雲林縣,斗六市
牛埔庄圳支線,,臺中市,大雅區
牛埔溪,,高雄市,內門區
牛埔溪,,臺南市,龍崎區
牛埔溪排水幹線,,屏東縣,新埤鄉、南州鄉、林邊鄉、東港鎮
牛眠排水分線─1,,南投縣,埔里
牛鬥坑溪,,,
牛稠坑排水溝,,雲林縣,林內鄉
牛稠坑溝,牛稠坑溝排水,臺中市,后里區
牛稠坑溝排水,,臺中市,后里區
牛稠坑溪,,臺南市,白河區
牛稠坑溪,,南投縣,信義鄉
牛稠埔坑,,嘉義縣,水上鄉
牛稠埔坑,,臺南市,白河區
牛稠埤,,彰化縣,芬園鄉
牛稠港,,基隆市,中山區
牛稠溪,,嘉義市,西區
牛稠溪,,屏東縣,萬丹鄉
牛稠溪,,臺南市,玉井區
牛稠溪排水幹線,,屏東縣,屏東市、長治鄉
牛路溝排水幹線,,南投縣,南投
牛路溝排水幹線,,彰化縣,鹿港鎮
牛路溝排水幹線─1,,南投縣,南投
牛運堀排水,,南投縣,南投市
牛運堀排水支線,,南投縣,南投
牛寮埔溪,,新北市,八里區
牛寮溝,,高雄市,內門區
牛寮溪,,宜蘭縣,頭城鎮
牛寮溪,,高雄市,田寮區
牛轀轆圳,,南投縣,水里鄉
牛欄坑,,臺南市,南化區
牛欄坑溪,,臺中市,和平區
牛欄河,,新竹縣,關西鎮
牛欄河,,桃園市,龍潭區
牛欄河排水,,新竹縣,關西鎮
王功漁港,,彰化縣,芳苑鄉
王田支線,,臺中市,大肚區
王田石坑排水,,臺中市,大肚區
王軍寮排水幹線,,新北市,深坑區
王爺坑,,新竹縣,竹東鎮
王爺坑幹線,,新竹縣,芎林鄉
王爺宮大排,,苗栗縣,後龍鎮
王榜圳,,南投縣,魚池鄉
他里溫排水支線,,南投縣,竹山
他里霧埤,,雲林縣,斗南鎮
仙人圳幹線,,高雄市,六龜區
仙人圳幹線下崁支線,,高雄市,六龜區
仙人圳幹線新寮支線,,高雄市,六龜區
仙水坑,,臺中市,東勢區
仙洞指坑,,南投縣,國姓鄉
仙洞指坑溪,,,
冬山河,,,
冬山河北側排水,,宜蘭縣,冬山鄉
冬山河舊道,,,
冬螺排水,,宜蘭縣,羅東鎮、冬山鄉
凸鼻溪,,臺東縣,長濱鄉
出水坑,,新北市,林口區
出水坑,,彰化縣,員林市
出水溪,,南投縣,信義鄉
出水溪,,嘉義縣,梅山鄉
加九寮溪,,新北市,烏來區
加冬坑,,苗栗縣,銅鑼鄉
加正坑圳,,南投縣,竹山鎮
加走埤,,嘉義縣,太保市
加走寮溪,,,
加里坑溪,,南投縣鹿谷鄉,
加拉板溪,,臺東縣,達仁鄉
加津林溪,,臺東縣,大武鄉
加拿水溪,,臺東縣,延平鄉
加拿典溪,,臺東縣,海端鄉
加拿溪,,臺東,
加納富溪,,宜蘭縣大同鄉,
加都魯溪,,屏東縣滿州鄉,
加塱溪,,花蓮縣,豐濱鄉
加龍溪,,屏東縣,獅子鄉
加龍溪,,,
加蘭溪,,宜蘭,
包安溪,,臺中市,和平區
包安溪,北山坑,南投縣國姓鄉,
包尾排水幹線,,南投縣,南投
北大排水,,花蓮縣,光復鄉
北山坑圳,,南投縣,國姓鄉
北山坑溪,木履欄溪,南投縣,國姓鄉
北山坑溪,,,
北中林排水,,嘉義縣,大林鎮
北元長中排,,雲林縣,元長鄉
北太麻里溪,,臺東縣,太麻里鄉
北太麻里溪,,,
北屯圳,,臺中市,北屯區、北區
北斗溪,,彰化縣,北斗鎮
北水林小排五,,雲林縣,水林鄉
北片坑,,,
北打鐵坑,,新竹縣,新埔鎮
北圳,,南投縣,國姓鄉
北圳南線分圳,,南投縣,國姓鄉
北坑,,臺中市,豐原區
北坑,,南投縣,仁愛鄉
北坑,,新竹市,東區
北坑,,新北市,林口區
北坑,水璉北溪,花蓮縣,壽豐鄉
北坑,水璉北溪,,
北坑圳,,嘉義縣,番路鄉
北坑溝,,苗栗縣,頭份市
北坑溝,,花蓮,
北坑溪,,臺中市,霧峰區
北坑溪,,新竹市,
北坑溪排水,,南投縣,國姓
北势溪,,,
北岡坑溪,,花蓮縣瑞穗鄉鶴岡村,
北岸河,,屏東縣,崁頂鄉
北底溪,,臺東縣,東河鄉
北底溪,,,
北門口二圳,,新竹縣,關西鎮
北門坑,,宜蘭縣,頭城鎮
北門漁港,,臺南市,北門區
北屋排水,,高雄市,仁武區
北埔一號排水,,花蓮縣,新城鄉
北埔二號排水,,花蓮縣,新城鄉
北埔五號排水,,花蓮縣,新城鄉
北埔四號排水,,花蓮縣,新城鄉
北峰溪,,新北市,汐止區
北峰溪,,,
北馬排水,,臺南市,東山區
北排水,,嘉義市,
北頂中排,,臺南市,下營區
北麻豆口中排,,臺南市,麻豆區、佳里區
北富八仙排水,,宜蘭縣,冬山鄉
北港溪,,南投縣仁愛鄉,
北港溪,,嘉義縣,東石鄉
北港溪,,,
北港溪排水幹線─1,,南投縣,國姓
北港溪排水幹線─2,,南投縣,國姓
北港溪排水幹線─3,,南投縣,國姓
北港溪排水幹線─4,,南投縣,國姓
北港溪排水幹線─5,,南投縣,國姓
北絲鬮溪,,臺東縣,延平鄉
北絲鬮溪,,高雄市,茂林區
北勢坑,,宜蘭縣,頭城鎮
北勢坑,,臺南市,六甲區
北勢坑,,雲林縣,斗六市
北勢坑,,南投縣,草屯鎮
北勢坑,,新北市,貢寮區
北勢坑,,彰化縣,彰化市
北勢坑溪,,高雄市,甲仙區
北勢坑溪,,新北市,五股區
北勢埤,,臺南市,新化區
北勢埤排水幹線,,屏東縣,竹田鄉
北勢排水,,新竹縣,湖口鄉、新豐鄉
北勢湳水泄支線,,南投縣,草屯
北勢溪,,臺中市,沙鹿區
北勢溪,,南投縣,竹山鎮
北勢溪,新港溪,,
北勢溪,,新竹縣,湖口鄉
北勢溪,,桃園市,楊梅區
北勢溪,,,
北勢溪(新港溪),,苗栗縣,後龍鎮
北勢溪排水,,苗栗縣,造橋鄉
北勢窩溪,,苗栗縣,通霄鎮
北勢寮排水幹線,,屏東縣,枋寮鄉
北勢寮溪,,,
北幹線支線,,苗栗縣,公館鄉
北溝支線,,臺中市,霧峰區
北溝排水,,高雄市,永安區
北溝溪,,,
北溝溪排水,,臺中市,霧峰區
北溪,,臺東縣,池上鄉
北窩排水,,新竹縣,湖口鄉
北寮坑溪,,南投縣,埔里鎮
北寮坑溪,,,
北寮溪,,臺南市,東山區、白河區
北學甲排水,,臺南市,學甲區
北嶺墘排水,,高雄市,路竹區
北麒麟溪,,,
半山坑排水,,南投縣,南投市
半山坑排水幹線(崩溝),,南投縣,南投
半屏溪,,臺東縣,成功鎮
半嶺溪,,嘉義縣,番路鄉
卡丹溪,,屏東縣,"新埤鄉,來義鄉"
卡布里娃欄溪,,屏東縣,春日鄉
卡拉溪,,桃園市,復興區
卡社北溪,,,
卡社溪,,,
卡南溪,,宜蘭縣,南澳鄉
卯舍中排,,臺南市,新營區
古井坑,,彰化縣,花壇鄉
古老埤,,雲林縣,古坑鄉
古拉溪,庫拉濃溪,臺東縣,金峰鄉
古風排水,,花蓮縣,卓溪鄉
古風溪,,花蓮縣富里鄉,
古區區排(浚仔溝區排),,金門縣,金城鎮
古崗湖區排,,金門縣,金城鎮
古楓溪,,花蓮縣,卓溪鄉
叭嗹溪,,新北市,汐止區
叭嗹溪,,,
可可亞溪,,,
臺牛坑,,南投縣,埔里鎮
臺牛溪,,屏東縣,恆春鎮
臺板溪,,臺東縣,達仁鄉
臺南運河,,臺南市,安平區
史港坑排水幹線,,南投縣,埔里
史港坑排水幹線─1,,南投縣,埔里
史港溪,,南投縣,埔里鎮
司馬按溪,,南投縣,魚池鄉
四十棟排水,,雲林縣,麥寮鄉
四分溪,,新北市,汐止區
四分溪,,,
四好溪排水幹線,,臺中市,大甲區
四好橋溝,,臺中市,大甲區
四坑,,宜蘭縣,三星鄉
四角林溪,,臺中市,東勢區
四季坑排水,,苗栗縣,銅鑼鄉
四季溪,,宜蘭縣,大同鄉
四重溪,,宜蘭,
四重歷溪,,新竹縣,竹東鎮
四草內海,,臺南市,安南區
四區溪,,南投縣,信義鄉
四堵溪,,新北市,坪林區
四湖大排,,雲林縣,口湖鄉、四湖鄉
四湖支線,,"桃園縣,新竹縣",
四湖坑,,臺南市,六甲區
四湖溪,,新竹縣,湖口鄉
四湖溪,,桃園市,楊梅區
四結排水,,宜蘭縣,五結鄉
四塊厝圳支線,,"臺中縣,臺中市",
四溝水圳,,屏東縣,萬巒鄉
四溝水圳一線,,屏東縣,萬巒鄉
四溝水圳二線,,屏東縣,萬巒鄉
四溝排水支線,,屏東縣,恆春鎮
四號溪,,南投縣,信義鄉
四窩溪排水,,苗栗縣,通霄鎮
四寮坪圳,,苗栗縣,大湖鄉
四線橋圳,,新北市,三芝區
圣子坑,,雲林縣,古坑鄉
圣田溝,,高雄市,田寮區
圣坑,,臺南市,官田區
圣埤,,桃園市,蘆竹區
外六寮排水,,"高雄縣,屏東縣",
外股排水支線,,新北市,深坑區
外垵1號排水路,,澎湖縣,西嶼鄉
外垵2號排,,澎湖縣,西嶼鄉
外垵3號排水路,,澎湖縣,西嶼鄉
外垵4號排水路,,澎湖縣,西嶼鄉
外埔大排,,雲林縣,口湖鄉
外埔大排,,苗栗縣,後龍鎮
外埔排水,,高雄市,大社區
外埔第二排水,,臺中市,外埔區
外埔第三排水,,臺中市,外埔區
外湖溪,,雲林縣,斗六市
外塭子中排二,,臺南市,安南區
外溪洲排水路,,嘉義縣,水上鄉
外轆排水幹線,,南投縣,南投
外雙溪,,,
尼埤圳排水幹線,,屏東縣,內埔鄉
布布爾溪,,南投縣,仁愛鄉
布由巒溪,,屏東縣,牡丹鄉
布拉布拉溪,,臺東縣,太麻里鄉
布唐布瓦那斯東溪,,,
布唐布那斯溪,,,
布唐薩諾阿爾溪,,,
布蕭丸溪,,,
布蕭丸溪,,宜蘭縣,大同鄉
平山坑排水,,南投縣,南投市
平山坑排水幹線,,南投縣,南投
平行水路排水,,宜蘭縣,五結鄉
平坑,,臺南市,南化區
平坑,,高雄市,甲仙區
平和1號排水路,,澎湖縣,七美鄉
平和大排,,南投縣,南投市
平和農場排水,,花蓮縣,壽豐鄉
平林第三排水,,花蓮縣,鳳林鎮
平林溪,,新北市,雙溪區
平頂溪,,雲林縣,林內鄉
平廣溪,,新北市,新店區
平廣溪,,,
幼坑,,南投縣,中寮鄉
必坦溪,,臺中市,和平區
打比厝溪,,苗栗縣,泰安鄉
打比厝溪,,,
打那岸排水,,宜蘭縣,冬山鄉、五結鄉、羅東鎮
打狗溪,,宜蘭,
打架埤,,桃園市,大園區
打鹿坑,,苗栗縣,公館鄉
打落馬溪,,花蓮縣,瑞穗鄉
打落馬溪,,,
打廓溪,,高雄市,內門區
打鐡坑溪,,,
打鐵坑,,臺中市,"東勢區,和平區"
打鐵坑,,苗栗縣,卓蘭鎮
打鐵坑支線排水,,苗栗縣,卓蘭鎮
打鐵坑溪,,高雄市,六龜區
打鐵坑溪,,苗栗縣,西湖鄉
打鐵坑溪,,桃園市,龍潭區
打鐵溪幹線,,桃園市,龍潭區
末尾坑,,宜蘭縣,頭城鎮
本淵寮排水,,臺南市,安南區
本部溪,,,
本館埤,,高雄市,三民區
本館排水,,高雄市,鳥松區
本館排水溝,,高雄市,三民區
民生排水,,宜蘭縣,礁溪鄉
民和水圳,,南投縣,信義鄉
民和街排水,,新北市,樹林區
民治溪,,屏東縣,"竹田鄉,潮州鎮,崁頂鄉"
民治溪排水幹線,,屏東縣,潮州鎮
民雄工業區排水,,嘉義市,
民雄排水路,,嘉義縣,新港鄉、民雄鄉
永安工業區區內及區外排水,,高雄市,永安區
永安支線排水,,高雄市,永安區
永安漁港,,桃園市,新屋區
永和山水庫,,苗栗縣,三灣鄉
永定厝中排,,雲林縣,二崙鄉
永康排水,,臺南市,永康區
永隆溝排水,,臺南市,北門區
永新支線排水,,高雄市,永安區
永福溪幹線,,桃園市,大溪區
永樂排水,,臺東縣,臺東市
永豐圳,,新北市,新店區
汀埔圳,,新竹市,北區
玄武湖,,桃園市,中壢區
玉山中排二,,臺南市,將軍區
玉水溪,,臺東縣,成功鎮
玉桂坑,,南投縣,國姓鄉
玉崙溪,地利溪,南投縣,水里鄉
玉崙溪,地利溪,,
玉穗溪,,,
瓜寮坑溪,,,
瓦崗溪,,臺東縣,延平鄉
瓦硐2號排水路,,澎湖縣,白沙鄉
瓦黑爾溪,,花蓮縣,秀林鄉
瓦嘟嘟那溪,,嘉義縣,
瓦瑤埤排水,,臺南市,六甲區、官田區
瓦瑤溪,水尾溪,臺中市,大安區
瓦瑤溪,水尾溪,,
瓦寮排水,,臺南市,學甲區
瓦磘溝,"瓦嗂溝,瓦窯溝,瓦瑤溝",新北市,"永和區,中和區"
瓦磘溪,,,
瓦窯埤,,臺南市,六甲區
瓦窯埤,,桃園市,蘆竹區
瓦窯溝排水幹線,,桃園市,大園區
瓦窯溪,,桃園市,蘆竹區
瓦魯斯溪,,屏東縣,來義鄉
瓦魯斯溪,,,
甘井坑,,彰化縣,員林市
甘厝大排,,雲林縣,莿桐鄉、西螺鎮、二崙鄉
甘蔗埤,,桃園市,大園區
生毛樹索溪,,嘉義縣,梅山鄉
生明圳,,臺中市,東勢區
田子林大排二,,雲林縣,大埤鄉
田子墘溝,,高雄市,內門區
田中分線,,臺中市,龍井區
田中央排水幹線,,屏東縣,車城鄉
田心子溪,,桃園市,大園區
田仔坑,,彰化縣,彰化市
田古爾溪,天狗溪,宜蘭縣大同鄉,
田尾大排,,雲林縣,二崙鄉
田尾坑,,南投縣,草屯鎮
田尾排水幹線,,彰化縣,線西鄉和美鎮
田厝排水,,高雄市,岡山區
田新二圳,,新竹縣,新埔鎮
田寮坑幹線,,新竹縣,橫山鄉
田寮河,,基隆市,中正區
田寮河,,新北市,瑞芳區
田寮埤,,桃園市,大園區
田寮排水,,苗栗縣,苗栗市
田寮排水,,臺南市,新營區、鹽水區、學甲區
田寮溪,,高雄市,田寮區
田螺溪,,南投縣,魚池鄉
由旦溪,,臺東縣,東河鄉
甲九圳,,桃園市,大溪區
甲九圳,,新北市,鶯歌區
白不仔溪,,南投縣,信義鄉
白不仔溪,,,
白毛臺溪,,,
白水溪,,嘉義縣,大埔鄉
白石溪,,新竹縣,尖石鄉
白石溪,,,
白米河,,宜蘭縣,蘇澳鎮
白米溪,,,
白冷圳,,臺中市,新社區
白坑1號排水路,,澎湖縣,湖西鄉
白沙屯漁港,,苗栗縣,通霄鎮
白沙彌溪,,,
白河水庫,,臺南市,白河區
白葉坑圳,,南投縣,埔里鎮
白葉坑排水幹線,,南投縣,埔里
白墓坑,,臺南市,官田區
白樹腳溪,,嘉義,
白鮑溪,,花蓮縣,秀林鄉
白鮑溪,,,
白龍溪,,金門縣,
白嶺溪,,宜蘭縣,大同鄉
白蘭溪,,新竹縣,五峰鄉
皮寮溪幹線,,桃園市,桃園區、八德區
石子坑溪,石仔坑溪,雲林縣斗六市重光里,
石子溪,,新竹縣,峨眉鄉
石子瀨排水,,臺南市,大內區
石山溝,,高雄市,內門區
石井溪,,新竹縣,峨眉鄉
石公溪,,,
石牛溝,,高雄市,田寮區
石牛溪,,雲林,
石牛溪,,屏東縣恆春鎮,
石牛溪,,屏東縣,恆春鎮
石平溪,,花蓮縣卓溪鄉,
石平溪,,花蓮縣,卓溪鄉
石灰水坑,,臺中市,太平區
石灰坑,,南投縣,仁愛鄉
石灰坑溪,,奧萬大,
石坑,,苗栗縣,銅鑼鄉
石坑子,,苗栗縣,公館鄉
石坑溪,,臺東縣,長濱鄉
石秀灣,,桃園市,復興區
石角溪,,臺中市,東勢區
石角溪,,臺北市,
石角溪支線,,臺中市,東勢區
石門圳,,新竹縣,關西鎮
石門坑溪,,新北市,石門區
石門溪,,宜蘭縣,大同鄉
石門溪,,臺東縣,長濱鄉
石泉1號排水路,,澎湖縣,馬公市
石厝坑溪,,基隆,
石厝埤,,桃園市,觀音區
石厝溝,,花蓮縣,富里鄉
石挾坑,,臺南市,六甲區
石曹溪,,臺南市,左鎮區
石曹溪,,新北市,坪林區
石梯港溪,,花蓮縣,豐濱鄉
石笱排水支線,,彰化縣,鹿港鎮、秀水鄉、花壇鄉、大村鄉、員林鎮、社頭鄉
石傘澳,,臺東縣,成功鎮
石圍牆圳,,臺中市,東勢區
